name,price,year,location,mileage,engine,gearshift,addtional_info,image
BMW Seria 5,71 500,2016 ,Bydgoszcz (Kujawsko-pomorskie),128 000 km,Diesel,Automatyczna,1 995 cm3 • 150 KM • BMW serii 5 F10 ( lifting ) 128.000 KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRmdTQycno4bjdtOTItT1RPTU9UT1BMIn0.QN7tYHZN9bE3RJSYRaqdCzkjaiNxcq0AW5oTK-CE-K4/image;s=320x240
BMW Seria 7 740d xDrive Edition Exclusive,44 900,2013 ,Łask (Łódzkie),205 000 km,Diesel,Automatyczna,2 993 cm3 • 313 KM • Bezwypadek Serwis Okazja,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjF0bmJld2cxcWFzeTEtT1RPTU9UT1BMIn0.Lezi2FgxzvtYS3vdCjYW-50j8u9XfwaGGub4h9Plmxk/image;s=320x240
BMW X4 xDrive20i mHEV sport,252 600,2023 ,Sosnowiec (Śląskie),5 km,Benzyna,Automatyczna,1 998 cm3 • 184 KM • xDrive20i Pakiet Business Class OD RĘKI!,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVicWhzcWFvaWdxYi1PVE9NT1RPUEwifQ.ixNvgvsUSYlBIHxPFEuC9RVYIuR-sk3vu6lhE5MdoWk/image;s=644x461
BMW X3 xDrive20d mHEV sport,308 300,2023 ,Gliwice (Śląskie),17 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • xDrive20d 2024 rok / Szary Brooklyn M,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx5ZmdmMGJ1aXM0ZTItT1RPTU9UT1BMIn0.rYzAkC9wx8R9V82F-x38yRQu9d6iWqyj9FLsSdy0Tbs/image;s=320x240
BMW Seria 3,27 800,2013 ,Kielce (Świętokrzyskie),210 000 km,Diesel,Manualna,"1 995 cm3 • 143 KM • Touring, nawigacja, el klapa, hak",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZnbWh0YnNuZGM4aDMtT1RPTU9UT1BMIn0.3ED7hKlP2q157OosyajXGr7vUfwfvHSo9SMu6DAJ4ZM/image;s=320x240
BMW X7 xDrive40i mHEV sport,629 700,2023 ,Gliwice (Śląskie),17 km,Benzyna,Automatyczna,2 998 cm3 • 381 KM • xDrive 40i / Szary Brooklyn M / Dostępny od ręki !!! / BMW Gazda /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBxNWVubm1teGpoYjEtT1RPTU9UT1BMIn0.-rbJbm1SoSv-oiuT5ctuAaEzGlFCoW-8CdPkZy5D4fA/image;s=320x240
BMW Seria 7 750i,38 900,2012 ,Elbląg (Warmińsko-mazurskie),240 000 km,Benzyna,Automatyczna,4 395 cm3 • 406 KM • sprzedam/zamienię BMW 750 2012r,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImV0dTZsYjAzMnljdDItT1RPTU9UT1BMIn0.DaMzgSLsyBtyphY7g-jBv2iSRf1zIfCy9FaB96klmxo/image;s=320x240
BMW iX xDrive40 Signature,339 900,2022 ,Gliwice (Śląskie),17 km,Elektryczny,Automatyczna,326 KM • xDrive 40 / Czarny Szafir / Dostępny od ręki / BMW Gazda /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InU3NW11c2E0NTZsNC1PVE9NT1RPUEwifQ.pL8RZq2SVhu0B2JIrSTPYwpZMIKfMNWWaa5PkEmNVZo/image;s=320x240
BMW X5 xDrive40i mHEV,259 900,2021 ,Warszawa (Mazowieckie),84 000 km,Benzyna,Automatyczna,2 998 cm3 • 333 KM • 4.0i mHev Xline Salon Polska 1WŁ FV23% Pneumatyka/Harman-Kardon/HAK!,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRsZ3AyNGtqbnRycjItT1RPTU9UT1BMIn0.R6bUKgwmq1p6ptu18pR8WKyQXgLTnooR2q7yTgzTGlk/image;s=320x240
BMW X2 M35i xDrive,351 000,2024 ,Gliwice (Śląskie),15 000 km,Benzyna,Automatyczna,1 998 cm3 • 300 KM • M35i / Frozen Portimao Blue / Demo Dealera / Zarezerwuj już dziś !!! /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Impmbnk0emFxdjkwYjEtT1RPTU9UT1BMIn0.nJkU9LM3qNwCe79Yj4cVmN4e4wdjOKlzdKQtj4kwuug/image;s=320x240
BMW 1M,134 900,2021 ,Warszawa (Mazowieckie),121 424 km,Benzyna,Automatyczna,1 998 cm3 • 306 KM • Bmw 1 M135i 306KM 2021r xdrive Salon PL Bezwypadkowy FV23%,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFxMmNxdDBvN3d0Yy1PVE9NT1RPUEwifQ.feT7V0-4BoG1sgoZfugmvDNaTcBq7zIcgtvA9lQmkv8/image;s=320x240
BMW X5 3.0d xDrive,78 000,2012 ,Szczecin (Zachodniopomorskie),238 000 km,Diesel,Automatyczna,2 993 cm3 • 245 KM • Bmw X5 E70 3.0d Full Opcja,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBsMGpydXk2dnUwazEtT1RPTU9UT1BMIn0.pc_smFMIYu8FrZcVjtYfMlSrnjV0B1_SVZLmCVCDCPg/image;s=320x240
BMW X5 xDrive40i mHEV M Sport sport,499 000,2023 ,Gliwice (Śląskie),10 km,Benzyna,Automatyczna,2 998 cm3 • 381 KM • xDrive40i / Pneumatyka / Domykanie drzwi / Szklany dach,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhyaTZtYnp6eWYxNC1PVE9NT1RPUEwifQ.VrJA0g30xaERxVZdlZ10xZ8WHLw9m17Awcyq8mFexVA/image;s=320x240
BMW Seria 5 520d xDrive,83 000,2014 ,Pniewy (Wielkopolskie),92 117 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • Stan salonowy,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBraHJhMHR5NGFjYy1PVE9NT1RPUEwifQ.rJrc3fQRQ5JxwLcvz3spUUeSUFIwteBXY6_V45OMd0M/image;s=320x240
