name,price,year,location,mileage,engine,gearshift,addtional_info,image
BMW Seria 5 520d Luxury Line sport,112 900,2017 ,Myszków (Śląskie),158 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • BMW 520d LUXURY Adaptive Led Full Led Indyvidual Auto Perfekcyjne !!,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InF0cGN6b2NhNGUzZjEtT1RPTU9UT1BMIn0.ohYucGgdSdYKnWmoJr9GnbMWHydXrzODqHb8Xmqstdw/image;s=320x240
BMW Seria 3 318i,18 900,2006 ,Katowice (Śląskie),144 000 km,Benzyna,Manualna,1 995 cm3 • 129 KM • 2.0 benzyna! serwis aso! niski przebieg! zadbana! elektryczny hak! PDC,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjB5c3diZzBpMjZyNy1PVE9NT1RPUEwifQ.yRcOJNDt6C_WxBEvYCy0tHArvGk-rJgWksG3QT0Cms0/image;s=320x240
BMW X5 xDrive25d,109 000,2014 ,Pieszków (Dolnośląskie),214 000 km,Diesel,Automatyczna,"1 995 cm3 • 218 KM • BMW X5, silnik na gwarancji, full opcja, webasto, drugi kpl.kół,",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijd1dzBsOWdlazM4MTItT1RPTU9UT1BMIn0.5grmuxP3ysMG67yBfz7eoXIC6h2QUu70kn1Rwxy40yw/image;s=320x240
BMW Seria 7 730d xDrive,159 900,2015 ,Lubin (Dolnośląskie),175 000 km,Diesel,Automatyczna,2 993 cm3 • 265 KM • BMW 730D X-DRIVE 320KM G11,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJtbnhqY2Y5MzQxdzMtT1RPTU9UT1BMIn0.t-OmuEayJTJTvSJnx1jHMlXEJpi9P2D0xJ4xeCsREIc/image;s=320x240
BMW M4,339 000,2020 ,Kocmyrzów (Małopolskie),40 000 km,Benzyna,Automatyczna,2 979 cm3 • 450 KM • BMW M4cs,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVnMHlpdGp4NXZ2ci1PVE9NT1RPUEwifQ.6gWfbfyYX_JrhvVKKnWPC80r51UMMmD42maEJJibbos/image;s=320x240
BMW Seria 5 520d xDrive,129 000,2018 ,Radomsko (Łódzkie),140 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • 520 xD XDRIVE LED duża NAVI skóry szyberdach ASO,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijd1cmRtaDNucmQ3cDItT1RPTU9UT1BMIn0._e6O6Mj5Yu2JvUt_tg3FFAZ8VEDI1LroPtQ7CNn4kfM/image;s=320x240
BMW X1 xDrive18d,53 900,2012 ,Skawina (Małopolskie),231 300 km,Diesel,Automatyczna,"1 995 cm3 • 143 KM • BMW X1 xDrive 18d, Automat, Salon Polska",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdueTd1MzB5cHYxYzMtT1RPTU9UT1BMIn0.QkyHVz_zyjiSslvpRqn_ohQv5qv41Ezyn68N22Q6_pc/image;s=320x240
BMW X3 M,209 500,2019 ,Katowice (Śląskie),128 000 km,Diesel,Automatyczna,"2 993 cm3 • 326 KM • I wł, F-ra VAT",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc0eTR3ZGhpNzVycy1PVE9NT1RPUEwifQ.xGaR59CYcsC5US9d0kfZPxZWq0OlSYBdPYzXCRjv2p4/image;s=320x240
BMW X6 30d xDrive,84 255,2012 ,Sierpc (Mazowieckie),270 000 km,Diesel,Automatyczna,2 993 cm3 • 245 KM • 3.0d xdrive SALON POLSKA LIFT wentylowane fotele gwarancja,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFiYmJ6aW02ejVjYzEtT1RPTU9UT1BMIn0.YqkhLKDo2mdaMhY6-z07Ltv0C7yH5R0nf4iAQmk2gIw/image;s=644x461
BMW X2 sDrive16d M Sport X,92 900,2019 ,Dąbrowa Górnicza (Śląskie),158 845 km,Diesel,Automatyczna,1 496 cm3 • 116 KM • * X2 F39 sDRIVE M Sport X * Navi Full Led Ambiente 2xPDC Alcantara *,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjlrdnE4enJmcnFtcjItT1RPTU9UT1BMIn0.BdIHuc2KE1jqzi-XhfYzCygFa-I-D6TaHvXD5wc_dpw/image;s=320x240
BMW X4,83 500,2015 ,Warszawa (Mazowieckie),150 324 km,Benzyna,Automatyczna,"1 997 cm3 • 184 KM • BMW X4 2.0 benzyna, jasny środek, okazja, bezwypadkowy",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZyMjlpa2h4MXJzcS1PVE9NT1RPUEwifQ.lCNschT8ROCZl14JUhrwX52ShgheEzAElt0LOjqAHPY/image;s=320x240
BMW X5,270 000,2021 ,Toszek (Śląskie),21 000 km,Diesel,Automatyczna,"2 993 cm3 • 286 KM • BMW X5 Stan idealny, FV, hak",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdzczM1dG1wdjZidTItT1RPTU9UT1BMIn0.7FZUWe3oD_yU3fISJ4xcPZoCwpNUjqDAgwZrE-S1pig/image;s=320x240
BMW Seria 3 318d,67 000,2019 ,Warszawa (Mazowieckie),174 000 km,Diesel,Automatyczna,1 995 cm3 • 150 KM • BMW 318d polski salon,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNjOHZtNWo0OHh4aDItT1RPTU9UT1BMIn0.NCD5jPU1WREope2gKfdPSvy6yi4woqwNKNe8U9wNvLg/image;s=320x240
BMW Seria 5 520d xDrive mHEV M Sport,273 000,2023 ,Sosnowiec (Śląskie),5 km,Diesel,Automatyczna,1 995 cm3 • 197 KM • 520d xDrive Pakiet sportowy M OD RĘKI!,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijl4b2c0ZTN4ZjB0aC1PVE9NT1RPUEwifQ.r3xwQDPBZdaxVijnQeMaAlCSnSx5Vae8eVVPdi-xnFg/image;s=644x461
BMW X3,169 000,2019 ,Warszawa (Mazowieckie),156 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • BMW X3 2.0 diesel biały polski salon bezwypadkowy prywatny właściciel,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InY3cnY4dG54dDh3cS1PVE9NT1RPUEwifQ.ExLfyOHD1Kh9nWQrSiRDx-47bl9xzFE0efo91_XWElM/image;s=320x240
BMW i3 94 Ah,89 500,2018 ,Sokołów Podlaski (Mazowieckie),53 000 km,Elektryczny,Automatyczna,170 KM • Bmw i3 94Ah 170Km 1.2019r Salon Polska Fvat23%,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNwNzdjNjVxd2lkajEtT1RPTU9UT1BMIn0.n5-NfVqR2kmgmlVQO9oIIS3WN7WHAnvEyYSCVS_E8H8/image;s=320x240
BMW Seria 5,99 900,2015 ,Chojnice (Pomorskie),177 300 km,Diesel,Automatyczna,2 993 cm3 • 313 KM • M-Pakiet Pełna Opcja XDrive,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InF6bHczbTRvOHVuczMtT1RPTU9UT1BMIn0.P3dHrmJ8345OlhsLYUJ5NbObTVQ1bFNTfOZ3Q59MfPQ/image;s=320x240
BMW Seria 3 320d Touring Advantage,73 000,2016 ,Zgorzelec (Dolnośląskie),77 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFnNGNwaWZ5YnIzazItT1RPTU9UT1BMIn0.KRc_-W56ls851iT0Ghun74F3hH3m6D3C9zWCbXe-CWo/image;s=320x240
BMW Seria 1 120d,24 900,2009 ,Wrocław (Dolnośląskie),178 000 km,Diesel,Manualna,"1 995 cm3 • 177 KM • BMW Seria 1, 120d, salon PL, zadbany",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc2bDR3c2UyZ2o0MzItT1RPTU9UT1BMIn0.ighCo5xXjKogYwSPZKiddqdq2xAZURzas0jR0uSejug/image;s=320x240
BMW Seria 1 118d,16 900,2009 ,Rakoniewice (Wielkopolskie),276 477 km,Diesel,Manualna,1 995 cm3 • 143 KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inh3dWxxOG9ibHd0ajItT1RPTU9UT1BMIn0.B-hLz71TmBQ6wn1vYJpuFc9f8yTSSggk7a0zP5WGick/image;s=320x240
BMW X1 xDrive18d,39 900,2011 ,Świlcza (Podkarpackie),218 565 km,Diesel,Automatyczna,1 995 cm3 • 143 KM • Park Distance Control ~ Automatyczna skrzynia biegów ~,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBzYXo3Zmg3M3hlYzEtT1RPTU9UT1BMIn0.C5RRaOacc5UhAWuBYGVKlONJsWmYpnV8mkMpZVCg6AA/image;s=644x461
BMW Seria 5 540i,149 000,2018 ,Łańcut (Podkarpackie),90 000 km,Benzyna,Automatyczna,2 998 cm3 • 340 KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVwczdyYXUxOHI5NTMtT1RPTU9UT1BMIn0.X2QTHrgKQtOItGl_CxcJFG9SoSZqPX3SmOIMXmeo_og/image;s=320x240
BMW Seria 5 520d Sport Line sport,94 000,2018 ,Zielona Góra (Lubuskie),170 000 km,Diesel,Automatyczna,"1 995 cm3 • 190 KM • 520D, BARDZO bogate wyposażenie,INDIVIDUAL- EXCLUSIVE , bezwypadkowa",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5sd2QwNzk2emFjbTEtT1RPTU9UT1BMIn0.ifjtoygkLGVbS6vNjJjqwya9I7iHBIforDsxXMffgx4/image;s=320x240
BMW X2,99 900,2018 ,Słupsk (Pomorskie),66 000 km,Benzyna,Automatyczna,1 998 cm3 • 231 KM • 231KM Xdrive HEAD UP Panorama LAMPY LED Skóry,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InEzc2YyZzV3czJ1czItT1RPTU9UT1BMIn0.Fc5woIfR0o1zMmPJ_stwswCRtzVy5YLwZesbCabe1fQ/image;s=320x240
BMW 5GT,52 000,2010 ,Malbork (Pomorskie),289 000 km,Diesel,Automatyczna,2 993 cm3 • 245 KM • Bmw 5GT 530d xDrive 245KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImkzMGVlNzI5dXlxNTMtT1RPTU9UT1BMIn0.lyxOipcKlqG3m2iJhaxAJ0_fFGX_UJ6Oy8-6P6ZCbcI/image;s=320x240
BMW Seria 7 740d xDrive,79 900,2012 ,Lubin (Dolnośląskie),247 000 km,Diesel,Automatyczna,2 993 cm3 • 306 KM • BMW F01 740XD 306KM Faktura VAT Polski Salon,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhxbGFpN3UwYzNlazItT1RPTU9UT1BMIn0.qrepEfn4WHfoCJP_HrivW6QC4fCyTsHohZyW6ZfPmoM/image;s=320x240
BMW Seria 3,14 900,2008 ,Łódź (Łódzkie),249 758 km,Benzyna,Manualna,1 995 cm3 • 140 KM • Sprzedam BMW 318i super stan,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ0MmluY3BwZGxlZTMtT1RPTU9UT1BMIn0.jQWYpBVdsT1X3FG6wQwd2GGP6rDUSOX6tEu505oQtlo/image;s=320x240
BMW X1,43 000,2011 ,Poznań (Wielkopolskie),150 842 km,Diesel,Automatyczna,"1 995 cm3 • 177 KM • BMW X1- polski salon, od nowości w rodzinie, bezwypadkowy",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InczaHN2ZmV6dzhyYTItT1RPTU9UT1BMIn0.DWGEgS_8zT-IFD9dWAFYYliCGyTUywdIj-ipqgDCSVU/image;s=320x240
BMW X3 1.8d,35 000,2009 ,Susz (Warmińsko-mazurskie),294 222 km,Diesel,Manualna,1 995 cm3 • 143 KM • Pierwszy właściciel,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjUyczRwNW56dDdneC1PVE9NT1RPUEwifQ.eYVeQ-7576_TrmEDvyp3tmbKBckr_N9OM4-phvPrK5E/image;s=320x240
BMW Seria 7 750Li xDrive,162 000,2017 ,Wrocław (Dolnośląskie),133 000 km,Benzyna,Automatyczna,"4 395 cm3 • 450 KM • BMW 750Li Individual, Polski salon, bezwypadkowy, serwisowany w ASO",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im0wbDkwZmhpMHd1bDItT1RPTU9UT1BMIn0.z4DmDDLSCZK23PBI4HFAJ3isQcKbpc2hb_D_Frh6zgc/image;s=320x240
BMW Seria 5 535d,35 000,2007 ,Gruta (Kujawsko-pomorskie),510 000 km,Diesel,Automatyczna,2 993 cm3 • 272 KM • Sprzedam BMW 535d e60,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZpanJkZnhubzYybTItT1RPTU9UT1BMIn0.xGiP0ZrlUw8LhEyUOsvGPSlUrKZtWaSy0f28tk1zFq8/image;s=320x240
BMW X6 35d xDrive,79 500,2009 ,Wrocław (Dolnośląskie),341 890 km,Diesel,Automatyczna,2 993 cm3 • 285 KM • BMW X6 35D Salon Wrocław,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjMybjR6dDYzMXRuNTMtT1RPTU9UT1BMIn0.2-3TGdo1WYQO8Xddy65kXYa5mvwCDfjOd1iDwf-jR40/image;s=320x240
BMW X1,59 000,2019 ,Ząbki (Mazowieckie),39 000 km,Diesel,Manualna,1 596 cm3 • 116 KM • Sprzedam bmw x1 model 2020 uszkodzony tylko 39 tys przebiegu,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjR3ZGl3Y20yN21qMzItT1RPTU9UT1BMIn0.a8nhtRtkTQETmr3XkMfTleagpf56ZU0uy2n3jLyTPkI/image;s=320x240
BMW Seria 3 320d xDrive mHEV M Sport sport,252 000,2024 ,Warszawa (Mazowieckie),1 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • 320d xDrive mHEV M Sport sport-automat - Od ręki !,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQ5cGV6cW4xc21kZzMtT1RPTU9UT1BMIn0.JBUCg_ZIIRpaGzKPwO3-YNyiYJQJ3AqkR_RYO57GQL4/image;s=644x461
BMW M2 Coupe DKG,177 000,2017 ,Poznań (Wielkopolskie),90 000 km,Benzyna,Automatyczna,2 979 cm3 • 370 KM • BMW M2 Coupe 3.0i 370KN DKG Skóry Navi LED Kamera,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdkMzJ5NDNqdm1rdy1PVE9NT1RPUEwifQ.LAHLymuz2EztDcw-wRhwWicOGvW1HuMnNfIeuZBHMlw/image;s=320x240
BMW Seria 3 318i,88 500,2018 ,Wrocław (Dolnośląskie),98 200 km,Benzyna,Automatyczna,1 499 cm3 • 136 KM • Sprzedam F30 318i LCI. Niski Przebieg. Bardzo Dobry Stan !,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImpsdDQ0Ync4bDI0YzItT1RPTU9UT1BMIn0.Co_CLMMslK1CAiVhfnssOmVsPIbrMXOEvqDJwywrGsE/image;s=320x240
BMW Seria 5,26 900,2003 ,Będzin (Śląskie),269 000 km,Benzyna,Automatyczna,2 979 cm3 • 231 KM • 2003r 530i Benzyna Szwajcaria,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjczcXRxa3Y2bXVocTItT1RPTU9UT1BMIn0.oonMVwWDEGCUVC4afZVNMIIzuCioSZYykEC1nYapmXM/image;s=320x240
BMW Seria 3 323i,16 599,1996 ,Gąsawy (Wielkopolskie),324 123 km,Benzyna,Manualna,"2 494 cm3 • 170 KM • BMW E36 323i climatronic, sportsitze, hi-fi",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ing5MmdsaXhzZWl6MDMtT1RPTU9UT1BMIn0.6t0O-GQxeLZUfzXwQ0eGNOuFrUmB2IH45F_XqK_Xh44/image;s=320x240
BMW Seria 5,24 900,2004 ,Bytom (Śląskie),299 999 km,Diesel,Automatyczna,2 497 cm3 • 177 KM • Zadbane,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNxOXc3d3pxOGFkZTItT1RPTU9UT1BMIn0.yiGSkS49GceEJW_OXrRETBm91UZsuuMcjLx6KcC_xqM/image;s=320x240
BMW X3,68 900,2013 ,Kielce (Świętokrzyskie),182 800 km,Diesel,Automatyczna,"1 995 cm3 • 184 KM • Salon Polska X3 XDRIVE, 182tys km",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNmMG8zNjQ1Zjd1MTItT1RPTU9UT1BMIn0.UfRyNYtM8kJwp8J5p5dHOk_xos_wreQNywvJi19YpiA/image;s=320x240
BMW X5 xDrive30d,146 000,2017 ,Klaudyn (Mazowieckie),209 900 km,Diesel,Automatyczna,2 993 cm3 • 258 KM • X5 F15 3.0d xDrive M pakiet salon PL,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZmanJiZGtxM3J5cjMtT1RPTU9UT1BMIn0.J9kP59pInilYtzULs7-QzylT00XVH01ruIu-CX2RFKs/image;s=320x240
BMW Seria 1 118i Advantage,109 900,2022 ,Wrocław (Dolnośląskie),37 544 km,Benzyna,Automatyczna,1 499 cm3 • 140 KM • i Advantage 1.5 140KM | grzana kierownica i fotele | PDC | HiFi,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQwYWNqdmptZGNtdi1PVE9NT1RPUEwifQ.ccqaO9OqulV7mJf9pnP0nn1kBGs9fbnQU6OwEKNOAWE/image;s=644x461
BMW X5 xDrive25d,91 000,2016 ,Serock (Mazowieckie),162 000 km,Diesel,Automatyczna,"1 995 cm3 • 231 KM • 2.0D 231KM, M-Pakiet, Salon Pl. 100% Bezwypadkowa.",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImpqYjZiaG82YXRobjMtT1RPTU9UT1BMIn0.dvhZYd-9FY4EYhnU69dFSnFn2EyMyVEKXf0dVc77MRI/image;s=320x240
BMW Seria 5 530i xDrive Sport Line sport,119 900,2019 ,Szczecin (Zachodniopomorskie),132 700 km,Benzyna,Automatyczna,1 998 cm3 • 252 KM • BMW 5 G30 Benz. Sport 4x4xDrive Prywatne auto!,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InI0Z3M0aG56aGZhazMtT1RPTU9UT1BMIn0.jkgWLTCrU0Ow2wcwwyvSazV9SFnN6KiVeaiowE97vuw/image;s=320x240
BMW Seria 3 320d,17 900,2005 ,Czerwona Niwa-Parcel (Mazowieckie),314 540 km,Diesel,Manualna,1 995 cm3 • 163 KM • Bmw e90,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRhcnpncW0wZ2UxZi1PVE9NT1RPUEwifQ.s3U51plpB-hsL_FlTc3mQWX_taAH32XM2OtOlMzngtU/image;s=320x240
BMW Seria 7 740Li,183 999,2018 ,Białystok (Podlaskie),63 000 km,Benzyna,Automatyczna,2 998 cm3 • 326 KM • BMW seria 7 xDrive,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5oODR6cWRqZWZ4dDMtT1RPTU9UT1BMIn0.BX4lJqE2cgOf_av0roCWZd1hfADhdVqdx24GVJNEcZQ/image;s=320x240
BMW Seria 3 320i,7 900,2005 ,Wągrowiec (Wielkopolskie),256 000 km,Benzyna+LPG,Manualna,"1 995 cm3 • 150 KM • Lpg manual, uszkodzony silnik",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijh0bzQ1cWhzdGM0Yi1PVE9NT1RPUEwifQ.gY7FQLuA4ahyfksz1CReCJgypTdl879c_N-ZOxiCa_w/image;s=320x240
BMW Seria 3,13 999,2008 ,Gąsawa (Kujawsko-pomorskie),420 000 km,Diesel,Manualna,1 995 cm3 • 177 KM • Sprzedem samochód BMW E91 Polecam! Volkswagen opel skoda,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhvdGlybTh3eWp5by1PVE9NT1RPUEwifQ.BCBGHpO0nR4m5dF17QYL_EnavDafJDDvFGnK5dcBLqQ/image;s=320x240
BMW Seria 3 318d,20 900,2009 ,Sompolno (Wielkopolskie),196 000 km,Diesel,Manualna,"1 995 cm3 • 143 KM • LIFT, NAVI, LED, tempomat",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFob2F5ZDRnMGR1ay1PVE9NT1RPUEwifQ.047siIDL22jnkp5ERum3pBdx2env6T9nLFgq1RU2xn4/image;s=320x240
BMW X5,319 900,2021 ,Łódź (Łódzkie),111 065 km,Diesel,Automatyczna,"2 993 cm3 • 340 KM • M-Pakiet, Adaptacyjne zawieszenie, FV-23%, Lasery, Komforty, Hak, 360°",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9qeHFxc2ZqMmxidjItT1RPTU9UT1BMIn0.ad1DGozvEgA5IOUEWXKmLodAn4yUJsd-8992W9IVKOA/image;s=320x240
BMW Seria 5 530d xDrive,60 500,2014 ,Krotoszyn (Wielkopolskie),118 000 km,Diesel,Automatyczna,2 993 cm3 • 258 KM • Bmw530 xdrive,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imw2OWdsMXJhaXoyZDItT1RPTU9UT1BMIn0.rlXf4rInRDFIKEhi8jKr14TI7PXqG2-E1HfaZkQDEDs/image;s=320x240
BMW Seria 5 520d Touring,70 000,2015 ,Koło (Wielkopolskie),200 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • Bmw 5 F11 520d 190 km automat,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNldWNjdTJhdGJtMzMtT1RPTU9UT1BMIn0.NroYPh4BdV9vxntuJTaUc97ci35TcnHxw6qPQtC6V0g/image;s=320x240
BMW X1 sDrive20d Advantage,90 000,2017 ,Kraków (Małopolskie),91 500 km,Diesel,Automatyczna,"1 995 cm3 • 190 KM • kupiony w Polsce w salonie bmw jako powystawowy, pirewszy właściciel",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFmMGJzdDZtbXVoby1PVE9NT1RPUEwifQ.rhVV1HXjP15ButfqIYyG-AX5juM7wOXI448ytPXoov4/image;s=320x240
BMW Seria 4 420d Gran Coupe Sport-Aut Sport Line,65 900,2014 ,Paczków (Opolskie),219 234 km,Diesel,Automatyczna,1 995 cm3 • 184 KM • 420d Grand Coupe Zarejestrowany+Prywanie--ZAMIANA,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImpmcmZyNnoweHN4YzMtT1RPTU9UT1BMIn0.UHFOR5VeknHTV5vronEcQBT7MIOaK3d7m9rnjlzXSwo/image;s=320x240
BMW X1,51 660,2014 ,Zawiercie (Śląskie),149 000 km,Diesel,Manualna,1 995 cm3 • 184 KM • xDrive20d Pierwszy Właściciel! Faktura VAT23% Polski Salon,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9sMzBuMHF0cmc1YjEtT1RPTU9UT1BMIn0.OxrlTDE7cVvJEzn5ehMXL5BXw4rf57rNbZg3AMxrGVM/image;s=320x240
BMW i3 94 Ah,48 900,2018 ,Dolice (Zachodniopomorskie),130 000 km,Elektryczny,Automatyczna,170 KM • Bmw I3 Premium 94h 170km 04.2019r Salon Polska,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im55ajRjeDk5dmx5MjMtT1RPTU9UT1BMIn0.fOQOtw2VUtFxSFK6hzbjb1uaa2LFDSpHu61yRa8KU3w/image;s=320x240
BMW X1,211 230,"",Wrocław (Dolnośląskie),Hybryda Plug-in,Automatyczna,2024 ,1 499 cm3 • 245 KM • Aktywne fotele przednie | HiFi Harman Kardon ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InMwcGdmNThsbjg4cDMtT1RPTU9UT1BMIn0.iA0zr48fijCkSkkntwvVcHoTvEjrJ2n6sTCVolj42JA/image;s=644x461
BMW Seria 3 318d MHEV Sport Line,126 900,2021 ,Swadzim (Wielkopolskie),104 134 km,Diesel,Automatyczna,1 995 cm3 • 150 KM • Sport Line|Aut.|Dost. komf.|Fot. sport. ogrz.|Wspom park.|FV23,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJ4Z3E5Mnp6ZHFxajMtT1RPTU9UT1BMIn0.0BYZojvw_umgUuadqtvlEgvMnB-qgn4k3ncMyMOvaYs/image;s=644x461
BMW X5 xDrive30i,52 750,2009 ,Lębork (Pomorskie),206 000 km,Benzyna+LPG,Automatyczna,2 996 cm3 • 272 KM • Sprzedam BMW X% E70 2009,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZ2ZHkxc2UwZ25uOS1PVE9NT1RPUEwifQ._zw4Fp81OiouRAkgMmir_SUrnuavPEJIXn6j--Ue3oI/image;s=320x240
BMW Seria 7 730d,51 000,2009 ,Wola Ducka (Mazowieckie),234 000 km,Diesel,Automatyczna,2 993 cm3 • 245 KM • BMW Seria 7 730d,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1qbTh3bm81MDA0ZTEtT1RPTU9UT1BMIn0.L-PLqqwcfZS1rN3sdWDaUB_TP-Omu1s1Ehh8Ck94Ay0/image;s=320x240
BMW Z4 sDrive28i,121 900,2015 ,Słupsk (Pomorskie),73 000 km,Benzyna,Automatyczna,"1 997 cm3 • 245 KM • BMW Z4,2017 rok, S DRIVE 28i, piękny, biały kabriolet,zamian. 73000 km",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imw1enlkaWEycXhhNy1PVE9NT1RPUEwifQ.yj3V6aSZTU3nhDrub_o36Pm6UGw9_sGDModVyFpzxDk/image;s=320x240
BMW Seria 5,27 900,2008 ,Grabów nad Prosną (Wielkopolskie),309 000 km,Diesel,Automatyczna,"2 993 cm3 • 231 KM • Po Lift,Mpakiet,Biksenon skretny,Fotele z pamięcią,Pakiet oświetlenia",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndhdTB5cjlxZXYxNi1PVE9NT1RPUEwifQ.rj3Js0pHf9ol4JtfW9W4U-3t7u7eRdXYpRHL6Xu7WjY/image;s=320x240
BMW Seria 3,36 000,2007 ,Kielce (Świętokrzyskie),334 000 km,Diesel,Automatyczna,1 995 cm3 • 177 KM • BMW Seria 3 E92 M-pakiet,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imh0bnJ6MDc2Y3BiZC1PVE9NT1RPUEwifQ.VY7m1FIVfQ64Brtf8-ruaKduHwtqU04CoKQCJUqTQR0/image;s=320x240
BMW X6 40d xDrive,83 000,2012 ,Lubin (Dolnośląskie),235 000 km,Diesel,Automatyczna,2 993 cm3 • 306 KM • BMW x6 m-pakiet,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjN1ZjU5YnVpN210ajEtT1RPTU9UT1BMIn0.einULA92oM2moLU2E7j0Xs9y64Xt-yrkU2iyH_gKjRY/image;s=320x240
BMW X5 M M50d,41 500,2016 ,Kraków (Małopolskie),107 450 km,Diesel,Automatyczna,2 993 cm3 • 381 KM • BMW X5 M50D DIESEL Faktura Adaptive LED noktowizor Bang Bogata FV,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjQwN24wcHV6YmdtcC1PVE9NT1RPUEwifQ.grrP_UihcwWLcf_ICJd57x4Loini251F14SDeqJgfHM/image;s=320x240
BMW M2 sport,323 800,2023 ,Sosnowiec (Śląskie),5 km,Benzyna,Automatyczna,2 993 cm3 • 460 KM • Coupe OD RĘKI!,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR2YnJnbGxpY2lmMDItT1RPTU9UT1BMIn0._yTppHr67y-W5QG-WigttO6cWb6SWqZmaK1TWaqTqqw/image;s=644x461
